AICHA_Index,AICHA_Abbreviation,AICHA_Region,AICHA_Structure,AICHA_Hemisphere,AICHA_Number_of_Voxels,AICHA_Volume_mm3,AICHA_coordinates_Xmm,AICHA_coordinates_Ymm,AICHA_coordinates_Zmm,Network_7_Yan400_Name,Network_7_Yan400_Index
254,CINGp2,Posterior Cingulum Gyrus (2),Cortical,Right,211,1688,7.53,-43.02,31.35,Default,7
255,CINGp3,Posterior Cingulum Gyrus (3),Cortical,Left,45,360,-5.07,-42.89,10.04,Default,7
256,CINGp3,Posterior Cingulum Gyrus (3),Cortical,Right,73,584,5.78,-42.38,10.3,Default,7
257,pCENT1,Paracentral Lobule (1),Cortical,Left,237,1896,-6.89,-16.76,50.9,SomMot,2
258,pCENT1,Paracentral Lobule (1),Cortical,Right,312,2496,7.68,-14.74,50.06,SomMot,2
259,pCENT2,Paracentral Lobule (2),Cortical,Left,496,3968,-10.15,-28.61,65.77,SomMot,2
260,pCENT2,Paracentral Lobule (2),Cortical,Right,568,4544,10.9,-26.74,66.43,SomMot,2
261,pCENT3,Paracentral Lobule (3),Cortical,Left,412,3296,-7.16,-26,69.51,SomMot,2
262,pCENT3,Paracentral Lobule (3),Cortical,Right,419,3352,7.67,-26.74,70.16,SomMot,2
263,pCENT4,Paracentral Lobule (4),Cortical,Left,248,1984,-6.39,-29.17,75.9,SomMot,2
264,pCENT4,Paracentral Lobule (4),Cortical,Right,225,1800,7.17,-28.66,75.71,SomMot,2
265,PRECU1,Precuneus (1),Cortical,Left,427,3416,-11.8,-55.27,13.43,Default,7
266,PRECU1,Precuneus (1),Cortical,Right,442,3536,12.78,-52.8,13.8,Default,7
267,PRECU2,Precuneus (2),Cortical,Left,232,1856,-4.98,-56.03,19.11,Default,7
268,PRECU2,Precuneus (2),Cortical,Right,204,1632,5.01,-55.53,19.8,Default,7
269,PRECU3,Precuneus (3),Cortical,Left,558,4464,-6.9,-50.87,33.74,Default,7
270,PRECU3,Precuneus (3),Cortical,Right,397,3176,5.74,-51.85,32.12,Default,7
271,PRECU4,Precuneus (4),Cortical,Left,296,2368,-6.95,-49.52,45.4,Default,7
272,PRECU4,Precuneus (4),Cortical,Right,276,2208,7.76,-48.75,43.64,Default,7
273,PRECU5,Precuneus (5),Cortical,Left,343,2744,-7.67,-54.56,56.22,DorsAttn,3
274,PRECU5,Precuneus (5),Cortical,Right,375,3000,7.18,-50.01,54.18,DorsAttn,3
275,PRECU6,Precuneus (6),Cortical,Left,276,2208,-7.41,-61.26,64.06,DorsAttn,3
276,PRECU6,Precuneus (6),Cortical,Right,305,2440,7.97,-59.91,63.68,DorsAttn,3
277,PRECU7,Precuneus (7),Cortical,Left,168,1344,-5.86,-64.69,35.68,Default,7
278,PRECU7,Precuneus (7),Cortical,Right,151,1208,7.17,-62.58,36,Default,7
279,PRECU8,Precuneus (8),Cortical,Left,369,2952,-6.83,-70.82,41.15,Cont,6
280,PRECU8,Precuneus (8),Cortical,Right,381,3048,10.52,-68.47,41.07,Cont,6
281,PRECU9,Precuneus (9),Cortical,Left,231,1848,-10.68,-69.54,49.26,DorsAttn,3
282,PRECU9,Precuneus (9),Cortical,Right,310,2480,12.71,-68.38,50.3,DorsAttn,3
283,pos1,parietooccipital sulcus (1),Cortical,Left,469,3752,-12.02,-55.73,7.56,Vis,1
284,pos1,parietooccipital sulcus (1),Cortical,Right,435,3480,13.11,-54.1,8.5,Vis,1
285,pos2,parietooccipital sulcus (2),Cortical,Left,130,1040,-13.42,-65.08,25.68,Default,7
286,pos2,parietooccipital sulcus (2),Cortical,Right,158,1264,15.89,-61.43,26.16,Cont,6
287,pos3,parietooccipital sulcus (3),Cortical,Left,244,1952,-10.49,-75.19,36.86,Cont,6
288,pos3,parietooccipital sulcus (3),Cortical,Right,256,2048,14.05,-72.93,37.4,Vis,1
289,pos4,parietooccipital sulcus (4),Cortical,Left,323,2584,-17.98,-59.57,4.08,Vis,1
290,pos4,parietooccipital sulcus (4),Cortical,Right,392,3136,20.61,-59.2,6.36,Vis,1
291,pos5,parietooccipital sulcus (5),Cortical,Left,34,272,-17.76,-70,19.59,Vis,1
292,pos5,parietooccipital sulcus (5),Cortical,Right,52,416,20.88,-65.58,20.04,Vis,1
293,pos6,parietooccipital sulcus (6),Cortical,Left,177,1416,-12.53,-75.32,29.32,Vis,1
294,pos6,parietooccipital sulcus (6),Cortical,Right,178,1424,15.09,-72.51,29.26,Vis,1
295,CU1,Cuneus (1),Cortical,Left,256,2048,-5.22,-82.66,28.38,Vis,1
296,CU1,Cuneus (1),Cortical,Right,200,1600,8.67,-80.07,28.73,Vis,1
297,CU2,Cuneus (2),Cortical,Left,146,1168,-4.14,-91.85,18.7,Vis,1
298,CU2,Cuneus (2),Cortical,Right,144,1152,7.57,-88.51,19.24,Vis,1
299,CAL1,Calcarine Gyrus (1),Cortical,Left,540,4320,-10.47,-71.63,9.03,Vis,1
300,CAL1,Calcarine Gyrus (1),Cortical,Right,517,4136,11.69,-69.38,10.26,Vis,1
301,CAL2,Calcarine Gyrus (2),Cortical,Left,445,3560,-7.3,-80.67,8.59,Vis,1
302,CAL2,Calcarine Gyrus (2),Cortical,Right,413,3304,9.52,-77.78,9.37,Vis,1
303,CAL3,Calcarine Gyrus (3),Cortical,Left,926,7408,-6.68,-95.35,-1.33,Vis,1
304,CAL3,Calcarine Gyrus (3),Cortical,Right,853,6824,10.82,-94.22,1.1,Vis,1
305,LING1,Lingual Gyrus (1),Cortical,Left,162,1296,-20.21,-45.32,-4.62,Vis,1
306,LING1,Lingual Gyrus (1),Cortical,Right,173,1384,19.64,-43.94,-3.9,Vis,1
307,LING2,Lingual Gyrus (2),Cortical,Left,283,2264,-21.1,-62.46,-6.81,Vis,1
308,LING2,Lingual Gyrus (2),Cortical,Right,330,2640,20.99,-60.23,-6.01,Vis,1
309,LING3,Lingual Gyrus (3),Cortical,Left,239,1912,-13.65,-63.56,-3.61,Vis,1
310,LING3,Lingual Gyrus (3),Cortical,Right,262,2096,12.95,-63.84,-2.16,Vis,1
311,LING4,Lingual Gyrus (4),Cortical,Left,38,304,-14.11,-75.68,-10.11,Vis,1
312,LING4,Lingual Gyrus (4),Cortical,Right,39,312,13.03,-72.41,-9.33,Vis,1
313,LING5,Lingual Gyrus (5),Cortical,Left,140,1120,-10.99,-81.26,-9.01,Vis,1
314,LING5,Lingual Gyrus (5),Cortical,Right,83,664,10.94,-79.4,-7.08,Vis,1
315,LING6,Lingual Gyrus (6),Cortical,Left,161,1288,-6.26,-80.41,-4.65,Vis,1
316,LING6,Lingual Gyrus (6),Cortical,Right,146,1168,6.66,-78.86,-3.36,Vis,1
321,pHIPP1,ParaHippocampal Gyrus (1),Cortical,Left,231,1848,-15.72,-4.03,-18.36,Limbic,5
322,pHIPP1,ParaHippocampal Gyrus (1),Cortical,Right,211,1688,14.13,-3.68,-17.84,Limbic,5
323,pHIPP2,ParaHippocampal Gyrus (2),Cortical,Left,329,2632,-27.64,-26.64,-18.75,Vis,1
324,pHIPP2,ParaHippocampal Gyrus (2),Cortical,Right,301,2408,28.61,-24.74,-18.63,Vis,1
325,pHIPP3,ParaHippocampal Gyrus (3),Cortical,Left,94,752,-17.55,-12.62,-30.23,Limbic,5
326,pHIPP3,ParaHippocampal Gyrus (3),Cortical,Right,128,1024,18.09,-14.34,-28.52,Limbic,5
327,pHIPP4,ParaHippocampal Gyrus (4),Cortical,Left,259,2072,-17.16,-27.37,-12.81,Vis,1
328,pHIPP4,ParaHippocampal Gyrus (4),Cortical,Right,321,2568,16.69,-27.39,-10.05,Vis,1
329,pHIPP5,ParaHippocampal Gyrus (5),Cortical,Left,387,3096,-27.07,-39.59,-10.86,Vis,1
330,pHIPP5,ParaHippocampal Gyrus (5),Cortical,Right,341,2728,27.17,-35.99,-11.93,Vis,1
331,FUS1,Fusiform Gyrus (1),Cortical,Left,1013,8104,-31.55,-8.77,-34.09,Limbic,5
332,FUS1,Fusiform Gyrus (1),Cortical,Right,1109,8872,31.52,-7.78,-34.67,Limbic,5
333,FUS2,Fusiform Gyrus (2),Cortical,Left,149,1192,-35.41,-25.62,-23.11,Limbic,5
334,FUS2,Fusiform Gyrus (2),Cortical,Right,172,1376,37.92,-24.5,-23.83,Limbic,5
335,FUS3,Fusiform Gyrus (3),Cortical,Left,347,2776,-36.58,-32.23,-23.75,Vis,1
336,FUS3,Fusiform Gyrus (3),Cortical,Right,390,3120,37.37,-31.29,-23.63,Limbic,5
337,FUS4,Fusiform Gyrus (4),Cortical,Left,458,3664,-43.13,-49.79,-17.41,DorsAttn,3
338,FUS4,Fusiform Gyrus (4),Cortical,Right,375,3000,44.13,-46.04,-17.75,DorsAttn,3
339,FUS5,Fusiform Gyrus (5),Cortical,Left,96,768,-31.48,-50.4,-12.44,Vis,1
340,FUS5,Fusiform Gyrus (5),Cortical,Right,150,1200,32.39,-46.73,-11.32,Vis,1
341,FUS6,Fusiform Gyrus (6),Cortical,Left,443,3544,-28.15,-65.99,-9.52,Vis,1
342,FUS6,Fusiform Gyrus (6),Cortical,Right,486,3888,29.01,-61.67,-9.48,Vis,1
343,FUS7,Fusiform Gyrus (7),Cortical,Left,266,2128,-23.09,-84.02,-10.33,Vis,1
344,FUS7,Fusiform Gyrus (7),Cortical,Right,243,1944,22.89,-80.45,-8.35,Vis,1
317,HIPP1,Hippocampus (1),Subcortical,Left,463,3704,-30.29,-7.03,-19.4,Limbic,5
318,HIPP1,Hippocampus (1),Subcortical,Right,424,3392,30.03,-4.97,-18.45,Limbic,5
319,HIPP2,Hippocampus (2),Subcortical,Left,437,3496,-24.94,-32.46,-2.69,,
320,HIPP2,Hippocampus (2),Subcortical,Right,485,3880,25.01,-31.37,-1.99,Vis,1
345,AMYG,Amygdala,Subcortical,Left,212,1696,-21.93,-0.41,-11.5,,
346,AMYG,Amygdala,Subcortical,Right,197,1576,21.13,1.65,-12.28,,
347,CAUD1,Caudate nucleus (1),Subcortical,Left,40,320,-11.5,21.85,1.05,,
348,CAUD1,Caudate nucleus (1),Subcortical,Right,33,264,11.21,22.85,-1.21,,
349,CAUD2,Caudate nucleus (2),Subcortical,Left,30,240,-14.4,26.13,0.2,,
350,CAUD2,Caudate nucleus (2),Subcortical,Right,43,344,15.67,27.77,1.81,,
351,CAUD3,Caudate nucleus (3),Subcortical,Left,337,2696,-12.3,13.69,-8.21,Limbic,5
352,CAUD3,Caudate nucleus (3),Subcortical,Right,318,2544,11.71,14.54,-7.62,Limbic,5
353,CAUD4,Caudate nucleus (4),Subcortical,Left,132,1056,-15.36,11.24,12.2,,
354,CAUD4,Caudate nucleus (4),Subcortical,Right,143,1144,14.21,19.92,8.2,,
355,CAUD5,Caudate nucleus (5),Subcortical,Left,354,2832,-12.92,9.78,8.27,,
356,CAUD5,Caudate nucleus (5),Subcortical,Right,302,2416,12.43,10.01,8.79,,
357,CAUD6,Caudate nucleus (6),Subcortical,Left,122,976,-16,3.51,18.66,,
358,CAUD6,Caudate nucleus (6),Subcortical,Right,157,1256,15.12,6.52,17.54,,
359,CAUD7,Caudate nucleus (7),Subcortical,Left,58,464,-18.41,-12.31,25.28,,
360,CAUD7,Caudate nucleus (7),Subcortical,Right,155,1240,16.98,-7.59,23.86,,
361,PALL,Pallidum,Subcortical,Left,132,1056,-18.64,-8.15,-0.52,,
362,PALL,Pallidum,Subcortical,Right,85,680,18.96,-6.92,-0.59,,
363,PUT2,Putamen (2),Subcortical,Left,640,5120,-23.3,6.26,0.78,,
364,PUT2,Putamen (2),Subcortical,Right,626,5008,23.23,7.35,0.77,,
365,PUT3,Putamen (3),Subcortical,Left,704,5632,-28.01,-6.26,1.77,SalVentAttn,4
366,PUT3,Putamen (3),Subcortical,Right,745,5960,28.53,-4.1,0.86,SalVentAttn,4
367,THA1,Thalamus (1),Subcortical,Left,81,648,-4.27,0.27,1.43,,
368,THA1,Thalamus (1),Subcortical,Right,67,536,3.61,0.39,1.4,,
369,THA2,Thalamus (2),Subcortical,Left,218,1744,-9.09,-8.55,12.95,,
370,THA2,Thalamus (2),Subcortical,Right,222,1776,8.54,-7.45,12.51,,
371,THA3,Thalamus (3),Subcortical,Left,29,232,-3.31,-7.45,-1.1,,
372,THA3,Thalamus (3),Subcortical,Right,23,184,2.78,-7.04,-1.13,,
373,THA4,Thalamus (4),Subcortical,Left,87,696,-3.22,-14.39,8.41,,
374,THA4,Thalamus (4),Subcortical,Right,96,768,3.29,-14.46,8.94,,
375,THA5,Thalamus (5),Subcortical,Left,630,5040,-12.41,-18.97,7.01,,
376,THA5,Thalamus (5),Subcortical,Right,577,4616,12.66,-17.47,6.4,,
377,THA6,Thalamus (6),Subcortical,Left,120,960,-15.05,-28.28,13.55,,
378,THA6,Thalamus (6),Subcortical,Right,160,1280,14.55,-26.51,12.73,,
379,THA7,Thalamus (7),Subcortical,Left,30,240,-8.87,-28.07,10.67,,
380,THA7,Thalamus (7),Subcortical,Right,37,296,8.76,-26.49,9.78,,
381,THA8,Thalamus (8),Subcortical,Left,44,352,-4.91,-26.27,14.05,,
382,THA8,Thalamus (8),Subcortical,Right,30,240,3.53,-25.33,13.13,,
383,THA9,Thalamus (9),Subcortical,Left,276,2208,-5.39,-10.71,-7.31,,
384,THA9,Thalamus (9),Subcortical,Right,219,1752,4.79,-10.27,-6.44,,
