Abbreviation,Region,Structure,Hemisphere,Index,Xmm,Ymm,Zmm,Number_of_Voxels,Volume_mm3
CAL1,Calcarine Gyrus (1),Cortical,Left,299,-10.47,-71.63,9.03,540,4320
CAL1,Calcarine Gyrus (1),Cortical,Right,300,11.69,-69.38,10.26,517,4136
CAL2,Calcarine Gyrus (2),Cortical,Left,301,-7.3,-80.67,8.59,445,3560
CAL2,Calcarine Gyrus (2),Cortical,Right,302,9.52,-77.78,9.37,413,3304
CAL3,Calcarine Gyrus (3),Cortical,Left,303,-6.68,-95.35,-1.33,926,7408
CAL3,Calcarine Gyrus (3),Cortical,Right,304,10.82,-94.22,1.1,853,6824
LING1,Lingual Gyrus (1),Cortical,Left,305,-20.21,-45.32,-4.62,162,1296
LING1,Lingual Gyrus (1),Cortical,Right,306,19.64,-43.94,-3.9,173,1384
LING2,Lingual Gyrus (2),Cortical,Left,307,-21.1,-62.46,-6.81,283,2264
LING2,Lingual Gyrus (2),Cortical,Right,308,20.99,-60.23,-6.01,330,2640
LING3,Lingual Gyrus (3),Cortical,Left,309,-13.65,-63.56,-3.61,239,1912
LING3,Lingual Gyrus (3),Cortical,Right,310,12.95,-63.84,-2.16,262,2096
LING4,Lingual Gyrus (4),Cortical,Left,311,-14.11,-75.68,-10.11,38,304
LING4,Lingual Gyrus (4),Cortical,Right,312,13.03,-72.41,-9.33,39,312
LING5,Lingual Gyrus (5),Cortical,Left,313,-10.99,-81.26,-9.01,140,1120
LING5,Lingual Gyrus (5),Cortical,Right,314,10.94,-79.4,-7.08,83,664
LING6,Lingual Gyrus (6),Cortical,Left,315,-6.26,-80.41,-4.65,161,1288
LING6,Lingual Gyrus (6),Cortical,Right,316,6.66,-78.86,-3.36,146,1168
HIPP1,Hippocampus (1),Subcortical,Left,317,-30.29,-7.03,-19.4,463,3704
HIPP1,Hippocampus (1),Subcortical,Right,318,30.03,-4.97,-18.45,424,3392
HIPP2,Hippocampus (2),Subcortical,Left,319,-24.94,-32.46,-2.69,437,3496
HIPP2,Hippocampus (2),Subcortical,Right,320,25.01,-31.37,-1.99,485,3880
pHIPP1,ParaHippocampal Gyrus (1),Cortical,Left,321,-15.72,-4.03,-18.36,231,1848
pHIPP1,ParaHippocampal Gyrus (1),Cortical,Right,322,14.13,-3.68,-17.84,211,1688
pHIPP2,ParaHippocampal Gyrus (2),Cortical,Left,323,-27.64,-26.64,-18.75,329,2632
pHIPP2,ParaHippocampal Gyrus (2),Cortical,Right,324,28.61,-24.74,-18.63,301,2408
pHIPP3,ParaHippocampal Gyrus (3),Cortical,Left,325,-17.55,-12.62,-30.23,94,752
pHIPP3,ParaHippocampal Gyrus (3),Cortical,Right,326,18.09,-14.34,-28.52,128,1024
pHIPP4,ParaHippocampal Gyrus (4),Cortical,Left,327,-17.16,-27.37,-12.81,259,2072
pHIPP4,ParaHippocampal Gyrus (4),Cortical,Right,328,16.69,-27.39,-10.05,321,2568
pHIPP5,ParaHippocampal Gyrus (5),Cortical,Left,329,-27.07,-39.59,-10.86,387,3096
pHIPP5,ParaHippocampal Gyrus (5),Cortical,Right,330,27.17,-35.99,-11.93,341,2728
FUS1,Fusiform Gyrus (1),Cortical,Left,331,-31.55,-8.77,-34.09,1013,8104
FUS1,Fusiform Gyrus (1),Cortical,Right,332,31.52,-7.78,-34.67,1109,8872
FUS2,Fusiform Gyrus (2),Cortical,Left,333,-35.41,-25.62,-23.11,149,1192
FUS2,Fusiform Gyrus (2),Cortical,Right,334,37.92,-24.5,-23.83,172,1376
FUS3,Fusiform Gyrus (3),Cortical,Left,335,-36.58,-32.23,-23.75,347,2776
FUS3,Fusiform Gyrus (3),Cortical,Right,336,37.37,-31.29,-23.63,390,3120
FUS4,Fusiform Gyrus (4),Cortical,Left,337,-43.13,-49.79,-17.41,458,3664
FUS4,Fusiform Gyrus (4),Cortical,Right,338,44.13,-46.04,-17.75,375,3000
FUS5,Fusiform Gyrus (5),Cortical,Left,339,-31.48,-50.4,-12.44,96,768
FUS5,Fusiform Gyrus (5),Cortical,Right,340,32.39,-46.73,-11.32,150,1200
FUS6,Fusiform Gyrus (6),Cortical,Left,341,-28.15,-65.99,-9.52,443,3544
FUS6,Fusiform Gyrus (6),Cortical,Right,342,29.01,-61.67,-9.48,486,3888
FUS7,Fusiform Gyrus (7),Cortical,Left,343,-23.09,-84.02,-10.33,266,2128
FUS7,Fusiform Gyrus (7),Cortical,Right,344,22.89,-80.45,-8.35,243,1944
AMYG,Amygdala,Subcortical,Left,345,-21.93,-0.41,-11.5,212,1696
AMYG,Amygdala,Subcortical,Right,346,21.13,1.65,-12.28,197,1576
CAUD1,Caudate nucleus (1),Subcortical,Left,347,-11.5,21.85,1.05,40,320
CAUD1,Caudate nucleus (1),Subcortical,Right,348,11.21,22.85,-1.21,33,264
CAUD2,Caudate nucleus (2),Subcortical,Left,349,-14.4,26.13,0.2,30,240
CAUD2,Caudate nucleus (2),Subcortical,Right,350,15.67,27.77,1.81,43,344
CAUD3,Caudate nucleus (3),Subcortical,Left,351,-12.3,13.69,-8.21,337,2696
CAUD3,Caudate nucleus (3),Subcortical,Right,352,11.71,14.54,-7.62,318,2544
CAUD4,Caudate nucleus (4),Subcortical,Left,353,-15.36,11.24,12.2,132,1056
CAUD4,Caudate nucleus (4),Subcortical,Right,354,14.21,19.92,8.2,143,1144
CAUD5,Caudate nucleus (5),Subcortical,Left,355,-12.92,9.78,8.27,354,2832
CAUD5,Caudate nucleus (5),Subcortical,Right,356,12.43,10.01,8.79,302,2416
CAUD6,Caudate nucleus (6),Subcortical,Left,357,-16,3.51,18.66,122,976
CAUD6,Caudate nucleus (6),Subcortical,Right,358,15.12,6.52,17.54,157,1256
CAUD7,Caudate nucleus (7),Subcortical,Left,359,-18.41,-12.31,25.28,58,464
CAUD7,Caudate nucleus (7),Subcortical,Right,360,16.98,-7.59,23.86,155,1240
PALL,Pallidum,Subcortical,Left,361,-18.64,-8.15,-0.52,132,1056
PALL,Pallidum,Subcortical,Right,362,18.96,-6.92,-0.59,85,680
PUT2,Putamen (2),Subcortical,Left,363,-23.3,6.26,0.78,640,5120
PUT2,Putamen (2),Subcortical,Right,364,23.23,7.35,0.77,626,5008
PUT3,Putamen (3),Subcortical,Left,365,-28.01,-6.26,1.77,704,5632
PUT3,Putamen (3),Subcortical,Right,366,28.53,-4.1,0.86,745,5960
THA1,Thalamus (1),Subcortical,Left,367,-4.27,0.27,1.43,81,648
THA1,Thalamus (1),Subcortical,Right,368,3.61,0.39,1.4,67,536
THA2,Thalamus (2),Subcortical,Left,369,-9.09,-8.55,12.95,218,1744
THA2,Thalamus (2),Subcortical,Right,370,8.54,-7.45,12.51,222,1776
THA3,Thalamus (3),Subcortical,Left,371,-3.31,-7.45,-1.1,29,232
THA3,Thalamus (3),Subcortical,Right,372,2.78,-7.04,-1.13,23,184
THA4,Thalamus (4),Subcortical,Left,373,-3.22,-14.39,8.41,87,696
THA4,Thalamus (4),Subcortical,Right,374,3.29,-14.46,8.94,96,768
THA5,Thalamus (5),Subcortical,Left,375,-12.41,-18.97,7.01,630,5040
THA5,Thalamus (5),Subcortical,Right,376,12.66,-17.47,6.4,577,4616
THA6,Thalamus (6),Subcortical,Left,377,-15.05,-28.28,13.55,120,960
THA6,Thalamus (6),Subcortical,Right,378,14.55,-26.51,12.73,160,1280
THA7,Thalamus (7),Subcortical,Left,379,-8.87,-28.07,10.67,30,240
THA7,Thalamus (7),Subcortical,Right,380,8.76,-26.49,9.78,37,296
THA8,Thalamus (8),Subcortical,Left,381,-4.91,-26.27,14.05,44,352
THA8,Thalamus (8),Subcortical,Right,382,3.53,-25.33,13.13,30,240
THA9,Thalamus (9),Subcortical,Left,383,-5.39,-10.71,-7.31,276,2208
THA9,Thalamus (9),Subcortical,Right,384,4.79,-10.27,-6.44,219,1752
